year,province,male,female
2012,Çankırı,1173,1123
2012,Çorum,3868,3621
2012,İstanbul,116480,110114
2012,İzmir,27614,26357
2012,Şanlıurfa,30127,29110
2012,Şırnak,7180,6839
2013,Adana,19870,18828
2013,Adıyaman,6729,6342
2013,Afyonkarahisar,5683,5227
2013,Aksaray,3554,3411
2013,Amasya,2103,1930
2013,Ankara,37513,35463
2013,Antalya,17119,16091
2013,Ardahan,859,737
2013,Artvin,1045,976
2013,Aydın,6867,6352
2013,Ağrı,8586,8071
2013,Balıkesir,6717,6382
2013,Bartın,1088,1071
2013,Batman,7338,6858
2013,Bayburt,616,597
2013,Bilecik,1348,1358
2013,Bingöl,2916,2678
2013,Bitlis,4597,4378
2013,Bolu,1785,1729
2013,Burdur,1522,1435
2013,Bursa,21293,20032
2013,Denizli,6849,6289
2013,Diyarbakır,21414,20315
2013,Düzce,2662,2482
2013,Edirne,2157,2039
2013,Elazığ,4537,4336
2013,Erzincan,1635,1578
2013,Erzurum,8021,7671
2013,Eskişehir,4814,4623
2013,Gaziantep,23958,22736
2013,Giresun,2427,2269
2013,Gümüşhane,922,955
2013,Hakkari,3262,3105
2013,Hatay,15526,14721
2013,Isparta,2756,2565
2013,Iğdır,2470,2245
2013,Kahramanmaraş,11870,11048
2013,Karabük,1299,1221
2013,Karaman,1983,1837
2013,Kars,3377,3142
2013,Kastamonu,2138,2039
2013,Kayseri,11574,10907
2013,Kilis,1505,1362
2013,Kocaeli,14207,13314
2013,Konya,18354,17443
2013,Kütahya,3461,3349
2013,Kırklareli,1808,1667
2013,Kırıkkale,1745,1575
2013,Kırşehir,1527,1367
2013,Malatya,6062,5871
2013,Manisa,9930,9263
2013,Mardin,10528,9911
2013,Mersin,14353,13608
2013,Muğla,5630,5388
2013,Muş,5821,5737
2013,Nevşehir,2170,2056
2013,Niğde,3037,2862
2013,Ordu,4842,4587
2013,Osmaniye,4868,4506
2013,Rize,2240,2106
2013,Sakarya,6836,6539
2013,Samsun,8899,8516
2013,Siirt,4380,4084
2013,Sinop,1168,1174
2013,Sivas,4810,4549
2013,Tekirdağ,6578,6173
2013,Tokat,4134,3868
2013,Trabzon,5145,5044
2013,Tunceli,488,465
2013,Uşak,2467,2168
2013,Van,15759,14951
2013,Yalova,1381,1358
2013,Yozgat,3274,3251
2013,Zonguldak,3775,3548
2013,Çanakkale,2740,2545
2013,Çankırı,1148,1141
2013,Çorum,3685,3424
2013,İstanbul,118139,111251
2013,İzmir,27071,26305
2013,Şanlıurfa,30736,29195
2013,Şırnak,7458,6957
2014,Adana,20468,19485
2014,Adıyaman,7017,6664
2014,Afyonkarahisar,5771,5606
2014,Aksaray,3632,3439
2014,Amasya,2063,1848
2014,Ankara,39227,37432
2014,Antalya,17915,16893
2014,Ardahan,841,793
2014,Artvin,1052,1018
2014,Aydın,7022,6610
2014,Ağrı,8562,8260
2014,Balıkesir,6992,6473
2014,Bartın,1185,1115
2014,Batman,7538,7370
2014,Bayburt,645,627
2014,Bilecik,1429,1311
2014,Bingöl,3039,2892
2014,Bitlis,4737,4411
2014,Bolu,1845,1698
2014,Burdur,1609,1517
2014,Bursa,22001,20682
2014,Denizli,7191,6774
2014,Diyarbakır,22593,21666
2014,Düzce,2658,2565
2014,Edirne,2072,1994
2014,Elazığ,4832,4468
2014,Erzincan,1615,1504
2014,Erzurum,8198,7784
2014,Eskişehir,5129,4897
2014,Gaziantep,25268,24039
2014,Giresun,2438,2277
2014,Gümüşhane,981,976
2014,Hakkari,3302,3211
2014,Hatay,16645,15675
2014,Isparta,2787,2590
2014,Iğdır,2444,2274
2014,Kahramanmaraş,11819,11071
2014,Karabük,1331,1146
2014,Karaman,1950,1771
2014,Kars,3359,3090
2014,Kastamonu,2000,1931
2014,Kayseri,12089,11417
2014,Kilis,1598,1502
2014,Kocaeli,15456,14423
2014,Konya,19137,17888
2014,Kütahya,3501,3480
2014,Kırklareli,1885,1841
2014,Kırıkkale,1698,1647
2014,Kırşehir,1501,1493
2014,Malatya,6314,6014
2014,Manisa,10101,9471
2014,Mardin,11318,10732
2014,Mersin,15102,14022
2014,Muğla,5771,5524
2014,Muş,6127,5897
2014,Nevşehir,2389,2085
2014,Niğde,3121,2917
2014,Ordu,4819,4567
2014,Osmaniye,4959,4715
2014,Rize,2187,2088
2014,Sakarya,7153,6868
2014,Samsun,9045,8514
2014,Siirt,4647,4447
2014,Sinop,1211,1169
2014,Sivas,4717,4715
2014,Tekirdağ,6816,6576
2014,Tokat,4090,3692
2014,Trabzon,5352,5062
2014,Tunceli,535,493
2014,Uşak,2424,2286
2014,Van,15706,15049
2014,Yalova,1491,1509
2014,Yozgat,3340,3246
2014,Zonguldak,3584,3539
2014,Çanakkale,2868,2621
2014,Çankırı,1204,1154
2014,Çorum,3704,3574
2014,İstanbul,124494,117903
2014,İzmir,28792,27114
2014,Şanlıurfa,32630,30765
2014,Şırnak,7850,7294
2015,Adana,20232,19235
2015,Adıyaman,6856,6557
2015,Afyonkarahisar,5774,5410
2015,Aksaray,3539,3323
2015,Amasya,2058,1901
