sex,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age_group,,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+
year,province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Kırıkkale,9655,12927,13871,12806,11017,9454,9912,10362,9093,7765,6296,12047,4735,3721,2823,2177,945,231,86,9288,12254,12839,12266,10314,10002,10162,10190,8742,7861,6979,11340,5268,4474,3431,2728,1485,498,190
2007,Kırşehir,7509,10074,10434,9748,9167,7936,7997,8254,7141,6210,4702,9453,3302,2803,2516,1759,930,271,95,7332,9599,10094,9670,8331,8149,7941,8288,7250,6373,5162,8967,4333,3844,3080,2381,1385,466,224
2007,Malatya,30792,35566,34047,30716,31774,28438,24472,23154,19188,17393,13458,34771,9666,8820,7113,5483,2130,609,408,29105,34039,32822,32928,32525,28538,24662,22789,18526,17031,14353,32863,11368,10667,7896,6696,4147,1851,1261
2007,Manisa,46357,54302,54409,66746,57885,50979,48160,47862,45542,39917,31042,51352,22135,18010,14944,10322,5117,1550,430,43448,51487,51470,53437,53707,50190,48430,47456,44328,38995,31106,48724,24085,20598,18524,14607,8442,2767,1058
2007,Mardin,47748,50635,42818,34549,32241,25504,20829,16836,11247,9098,6892,53101,5559,5333,4629,3480,1532,604,432,45834,48695,40741,33122,32947,26050,19708,15814,11589,10079,8770,51481,6827,6215,5351,4554,2812,1253,869
2007,Mersin,63171,76337,73826,74277,69901,62921,58840,57268,48371,42922,31619,73285,22743,17279,13540,9041,4217,1081,473,59641,72889,70676,66208,68914,64546,60257,57991,48987,42282,32380,69329,24343,19029,15345,11872,6777,2181,1179
2007,Muğla,26157,29193,28675,31974,35263,34641,33015,31314,27751,23362,17734,28553,13098,11666,9222,6323,3240,800,422,24857,27506,26369,28892,32549,32273,30336,28693,25265,21583,17325,26664,13602,12066,9900,8431,5126,1441,875
2007,Muş,27114,28779,25490,17688,17771,12999,10519,9329,6776,6048,3696,31342,3074,2134,1711,1172,661,220,66,25503,26435,23829,17806,17553,12201,8804,7841,6128,6181,4713,30131,3313,2749,2022,1805,1219,484,203
2007,Nevşehir,11516,12860,11900,10945,11644,10886,10234,9479,8381,6966,5856,12897,4285,3565,3072,2125,1104,284,93,11049,12458,11627,11317,11495,10614,10101,9724,8319,7132,6366,12425,5346,4687,3843,2903,1725,588,247
2007,Niğde,15762,16722,15687,14231,14267,12238,11644,10479,8435,7016,5938,17085,4687,3810,3261,2142,987,251,103,14814,16235,15122,14869,13791,12255,11214,10314,8522,7197,6340,16350,5451,4949,3799,2994,1763,634,319
2007,Ordu,25993,33597,31772,26703,28705,26459,24504,25681,20828,19316,15858,31964,13038,11269,10547,7017,2458,512,332,24214,32660,30812,26857,28333,26002,23617,24692,19858,20272,16671,30530,14433,12983,10242,9426,5082,1390,782
2007,Osmaniye,21766,23545,22143,18671,19215,16549,15313,14685,12382,11172,8638,24313,5798,4420,3262,2263,1175,271,136,20679,22646,21112,19179,19323,17161,15868,14622,12113,11094,8793,22936,6518,5106,3816,3085,1977,695,440
2007,Rize,11350,14002,14010,11378,12914,12519,12905,12105,10321,8593,6060,13186,5039,4297,3716,2122,716,235,112,10888,13572,13396,12543,13095,12241,12424,11444,9548,8489,6254,12615,5849,5733,4524,4246,2303,927,581
2007,Sakarya,32465,36985,35363,32643,38405,34426,31475,28729,26558,23421,18432,37062,12762,10297,7935,5795,2780,647,328,30678,34910,34380,35918,37592,33921,30583,28546,25917,22819,17861,35081,13809,11980,9557,8161,4794,1440,767
2007,Samsun,45384,58661,56291,49224,48955,44089,41592,43301,38135,34426,27155,54656,20648,16889,13289,9242,3153,719,378,42824,57058,54281,50846,51177,45987,42714,44919,37430,34570,27909,52483,22354,19482,15179,13817,6737,1949,1056
2007,Siirt,21067,20534,16249,17181,12507,8966,7449,6172,4284,3824,2769,22683,1993,1649,1571,1083,444,131,72,19865,19399,14891,11664,12258,8531,6389,5695,4085,4010,3387,21212,2538,2175,1584,1560,953,434,270
2007,Sinop,6201,8249,8837,7086,6792,6059,5719,6063,5691,5818,5374,7207,4432,4380,3922,2931,1696,439,136,5803,8075,8839,7456,6778,6166,5949,6345,5871,5813,5581,7011,5163,5315,4456,3586,2151,706,316
2007,Sivas,26447,30538,29960,33203,28220,23504,20358,19136,16572,14969,12593,29535,10229,8760,7592,6038,2241,433,229,24981,29284,29297,29325,26592,22850,20328,19166,16570,14900,13571,28499,11598,10190,7676,7492,3801,1132,655
2007,Tekirdağ,26072,28429,28876,37683,39334,33744,30467,27494,24760,21256,15963,27824,10674,8082,6827,4803,2459,752,204,24389,26710,26136,29382,34698,30963,28085,26054,23567,20544,15476,26193,10836,9307,8317,6692,3647,1205,492
2007,Tokat,23510,29692,29097,27936,23980,21513,20135,19609,17488,16564,13687,28393,11469,10131,8554,5000,2092,391,133,22455,28705,27708,25689,23992,22143,19682,20004,17752,17313,15170,26823,13219,10398,8593,6895,3404,951,452
