uni_name,type,city,region,year,foundation_year
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1990,1956
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,1990,1975
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,1990,1982
ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,1990,1975
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1990,1982
YILDIZ ÜNİVERSİTESİ,state,İstanbul,Marmara,1990,1982
YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,1990,1982
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,1989,1982
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,1989,1973
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1989,1946
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,1989,1957
BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1989,1985
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,1989,1971
CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,1989,1974
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,1989,1973
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,1989,1973
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,1989,1982
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,1989,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,1989,1982
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,1989,1975
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1989,1982
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,1989,1987
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1989,1967
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,1989,1975
İSTANBUL TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1989,1944
İSTANBUL ÜNİVERSİTESİ,state,İstanbul,Marmara,1989,1933
KARADENİZ TEKNİK ÜNİVERSİTESİ,state,Trabzon,Black Sea,1989,1955
MARMARA ÜNİVERSİTESİ,state,İstanbul,Marmara,1989,1982
ONDOKUZ MAYIS ÜNİVERSİTESİ,state,Samsun,Black Sea,1989,1975
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1989,1956
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,1989,1975
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,1989,1982
ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,1989,1975
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1989,1982
YILDIZ ÜNİVERSİTESİ,state,İstanbul,Marmara,1989,1982
YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,1989,1982
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,1988,1982
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,1988,1973
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1988,1946
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,1988,1957
BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1988,1985
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,1988,1971
CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,1988,1974
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,1988,1973
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,1988,1973
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,1988,1982
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,1988,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,1988,1982
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,1988,1975
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1988,1982
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,1988,1987
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1988,1967
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,1988,1975
İSTANBUL TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1988,1944
İSTANBUL ÜNİVERSİTESİ,state,İstanbul,Marmara,1988,1933
KARADENİZ TEKNİK ÜNİVERSİTESİ,state,Trabzon,Black Sea,1988,1955
MARMARA ÜNİVERSİTESİ,state,İstanbul,Marmara,1988,1982
ONDOKUZ MAYIS ÜNİVERSİTESİ,state,Samsun,Black Sea,1988,1975
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1988,1956
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,1988,1975
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,1988,1982
ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,1988,1975
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1988,1982
YILDIZ ÜNİVERSİTESİ,state,İstanbul,Marmara,1988,1982
YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,1988,1982
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,1987,1982
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,1987,1973
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1987,1946
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,1987,1957
BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1987,1985
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,1987,1971
CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,1987,1974
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,1987,1973
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,1987,1973
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,1987,1982
